date,score,score_alignment,score_deep,score_disturbances,score_efficiency,score_latency,score_rem,score_total,duration,awake,light,rem,deep,total,onset_latency,midpoint_time,efficiency,restless,hr_average,hr_lowest,rmssd,breath_average,bedtime_start_midnight_delta,bedtime_end_midnight_delta,temperature_delta,bedtime_start_timestamp,bedtime_end_timestamp
2020-03-14,88,70,98,84,88,79,98,92,33240,4470,13170,7980,7620,28770,90,14880,87,37,67.31,62.0,36.0,15.5,-551,32689,-0.24,1584168649000,1584201889000
2020-03-15,82,9,95,74,74,84,100,99,38760,7230,15540,11070,4920,31530,300,18690,81,34,69.83,63.0,33.0,15.625,6606,45366,0.02,1584262206000,1584300966000
2020-03-16,68,22,89,84,86,39,90,66,26280,3810,12120,5970,4380,22470,3300,14460,86,34,67.79,63.0,39.0,15.75,6091,32371,-0.06,1584348091000,1584374371000
2020-03-17,73,7,86,84,65,90,100,73,31080,7050,10380,9390,4260,24030,1260,14640,77,31,68.35,63.0,33.0,15.625,11539,42619,0.07,1584439939000,1584471019000
2020-03-18,88,17,97,84,96,99,100,100,35820,3240,13170,12780,6630,32580,900,17820,91,30,68.16,64.0,31.0,15.5,4769,40589,-0.21,1584519569000,1584555389000
2020-03-19,69,1,54,93,98,99,95,59,22380,1590,11550,6540,2700,20790,900,11310,93,32,70.44,64.0,27.0,15.25,20370,42750,0.11,1584621570000,1584643950000
2020-03-20,88,12,96,90,96,99,100,99,35280,3300,12450,13860,5670,31980,870,17280,91,30,71.84,67.0,23.0,15.375,6869,42149,0.09,1584694469000,1584729749000
2020-03-21,86,4,96,87,81,98,100,100,41040,6600,15870,12780,5790,34440,840,18990,84,29,70.24,63.0,28.0,15.375,7921,48961,0.08,1584781921000,1584822961000
2020-03-22,77,1,93,83,96,94,99,76,27480,2550,11880,8490,4560,24930,1080,13890,91,37,70.33,65.0,32.0,15.25,16901,44381,0.17,1584877301000,1584904781000
2020-03-23,85,5,98,76,96,90,100,100,43320,4080,13320,18240,7680,39240,510,20970,91,39,74.62,65.0,22.0,15.375,5581,48901,0.19,1584952381000,1584995701000
